x,y
0.010204,0.994950
0.030612,0.994952
0.051020,0.994956
0.071429,0.994963
0.091837,0.994971
0.112245,0.994982
0.132653,0.994994
0.153061,0.995009
0.173469,0.995026
0.193878,0.995045
0.214286,0.995066
0.234694,0.995089
0.255102,0.995114
0.275510,0.995141
0.295918,0.995171
0.316327,0.995202
0.336735,0.995236
0.357143,0.995272
0.377551,0.995310
0.397959,0.995350
0.418367,0.995392
0.438776,0.995436
0.459184,0.995482
0.479592,0.995531
0.500000,0.995581
0.520408,0.995634
0.540816,0.995688
0.561224,0.995745
0.581633,0.995804
0.602041,0.995865
0.622449,0.995928
0.642857,0.995993
0.663265,0.996061
0.683673,0.996130
0.704082,0.996202
0.724490,0.996275
0.744898,0.996351
0.765306,0.996429
0.785714,0.996509
0.806122,0.996591
0.826531,0.996675
0.846939,0.996761
0.867347,0.996849
0.887755,0.996940
0.908163,0.997032
0.928571,0.997127
0.948980,0.997224
0.969388,0.997323
0.989796,0.997424
1.010204,0.997475
1.030612,0.997475
1.051020,0.997475
1.071429,0.997475
1.091837,0.997475
1.112245,0.997475
1.132653,0.997475
1.153061,0.997475
1.173469,0.997475
1.193878,0.997475
1.214286,0.997475
1.234694,0.997475
1.255102,0.997475
1.275510,0.997475
1.295918,0.997475
1.316327,0.997475
1.336735,0.997475
1.357143,0.997475
1.377551,0.997475
1.397959,0.997475
1.418367,0.997475
1.438776,0.997475
1.459184,0.997475
1.479592,0.997475
1.500000,0.997475
1.520408,0.997475
1.540816,0.997475
1.561224,0.997475
1.581633,0.997475
1.602041,0.997475
1.622449,0.997475
1.642857,0.997475
1.663265,0.997475
1.683673,0.997475
1.704082,0.997475
1.724490,0.997475
1.744898,0.997475
1.765306,0.997475
1.785714,0.997475
1.806122,0.997475
1.826531,0.997475
1.846939,0.997475
1.867347,0.997475
1.887755,0.997475
1.908163,0.997475
1.928571,0.997475
1.948980,0.997475
1.969388,0.997475
1.989796,0.997475
2.010204,0.997475
