x,y,cell_number,p_stat, vel_u, vel_v
0.030612,0.005230,99,101346.016207,2.516888,0.034145
0.030612,0.015329,100,101345.950219,2.549286,0.073492
0.030612,0.025428,101,101345.880835,2.576743,0.088249
0.030612,0.035528,102,101345.799633,2.604461,0.102494
0.030612,0.045627,103,101345.708341,2.634367,0.114460
0.030612,0.055726,104,101345.607954,2.666360,0.124683
0.030612,0.065825,105,101345.499249,2.700243,0.133509
0.030612,0.075924,106,101345.382877,2.735819,0.141186
0.030612,0.086023,107,101345.259376,2.772913,0.147906
0.030612,0.096123,108,101345.129197,2.811366,0.153818
0.030612,0.106222,109,101344.992723,2.851037,0.159039
0.030612,0.116321,110,101344.850286,2.891800,0.163665
0.030612,0.126420,111,101344.702174,2.933541,0.167768
0.030612,0.136519,112,101344.548645,2.976159,0.171412
0.030612,0.146619,113,101344.389932,3.019559,0.174644
0.030612,0.156718,114,101344.226247,3.063659,0.177508
0.030612,0.166817,115,101344.057790,3.108378,0.180036
0.030612,0.176916,116,101343.884749,3.153647,0.182259
0.030612,0.187015,117,101343.707303,3.199397,0.184199
0.030612,0.197115,118,101343.525627,3.245567,0.185879
0.030612,0.207214,119,101343.339892,3.292097,0.187315
0.030612,0.217313,120,101343.150266,3.338934,0.188523
0.030612,0.227412,121,101342.956915,3.386024,0.189515
0.030612,0.237511,122,101342.760008,3.433319,0.190305
0.030612,0.247610,123,101342.559711,3.480771,0.190901
0.030612,0.257710,124,101342.356195,3.528335,0.191314
0.030612,0.267809,125,101342.149629,3.575968,0.191550
0.030612,0.277908,126,101341.940187,3.623628,0.191618
0.030612,0.288007,127,101341.728044,3.671275,0.191524
0.030612,0.298106,128,101341.513378,3.718871,0.191274
0.030612,0.308206,129,101341.296370,3.766378,0.190874
0.030612,0.318305,130,101341.077201,3.813761,0.190329
0.030612,0.328404,131,101340.856059,3.860984,0.189644
0.030612,0.338503,132,101340.633131,3.908014,0.188824
0.030612,0.348602,133,101340.408607,3.954818,0.187872
0.030612,0.358702,134,101340.182681,4.001364,0.186794
0.030612,0.368801,135,101339.955545,4.047623,0.185594
0.030612,0.378900,136,101339.727397,4.093564,0.184275
0.030612,0.388999,137,101339.498433,4.139158,0.182841
0.030612,0.399098,138,101339.268853,4.184379,0.181297
0.030612,0.409197,139,101339.038856,4.229198,0.179646
0.030612,0.419297,140,101338.808642,4.273591,0.177891
0.030612,0.429396,141,101338.578410,4.317531,0.176037
0.030612,0.439495,142,101338.348361,4.360996,0.174088
0.030612,0.449594,143,101338.118694,4.403961,0.172045
0.030612,0.459693,144,101337.889608,4.446405,0.169914
0.030612,0.469793,145,101337.661301,4.488306,0.167698
0.030612,0.479892,146,101337.433968,4.529643,0.165400
0.030612,0.489991,147,101337.207804,4.570396,0.163024
0.030612,0.500090,148,101336.983002,4.610548,0.160573
0.030612,0.510189,149,101336.759751,4.650079,0.158051
0.030612,0.520289,150,101336.538238,4.688972,0.155460
0.030612,0.530388,151,101336.318648,4.727212,0.152805
0.030612,0.540487,152,101336.101163,4.764782,0.150088
0.030612,0.550586,153,101335.885960,4.801668,0.147313
0.030612,0.560685,154,101335.673213,4.837855,0.144482
0.030612,0.570784,155,101335.463092,4.873332,0.141600
0.030612,0.580884,156,101335.255765,4.908084,0.138668
0.030612,0.590983,157,101335.051392,4.942101,0.135690
0.030612,0.601082,158,101334.850133,4.975372,0.132669
0.030612,0.611181,159,101334.652140,5.007886,0.129607
0.030612,0.621280,160,101334.457562,5.039634,0.126507
0.030612,0.631380,161,101334.266544,5.070606,0.123372
0.030612,0.641479,162,101334.079226,5.100796,0.120204
0.030612,0.651578,163,101333.895741,5.130193,0.117005
0.030612,0.661677,164,101333.716220,5.158793,0.113779
0.030612,0.671776,165,101333.540788,5.186588,0.110526
0.030612,0.681876,166,101333.369565,5.213571,0.107250
0.030612,0.691975,167,101333.202667,5.239739,0.103952
0.030612,0.702074,168,101333.040206,5.265085,0.100634
0.030612,0.712173,169,101332.882286,5.289605,0.097297
0.030612,0.722272,170,101332.729009,5.313295,0.093945
0.030612,0.732372,171,101332.580472,5.336152,0.090577
0.030612,0.742471,172,101332.436768,5.358171,0.087196
0.030612,0.752570,173,101332.297984,5.379350,0.083802
0.030612,0.762669,174,101332.164204,5.399686,0.080398
0.030612,0.772768,175,101332.035508,5.419177,0.076984
0.030612,0.782867,176,101331.911969,5.437821,0.073561
0.030612,0.792967,177,101331.793661,5.455615,0.070129
0.030612,0.803066,178,101331.680650,5.472558,0.066691
0.030612,0.813165,179,101331.573001,5.488649,0.063246
0.030612,0.823264,180,101331.470773,5.503886,0.059794
0.030612,0.833363,181,101331.374026,5.518267,0.056336
0.030612,0.843463,182,101331.282813,5.531793,0.052873
0.030612,0.853562,183,101331.197185,5.544460,0.049403
0.030612,0.863661,184,101331.117194,5.556269,0.045927
0.030612,0.873760,185,101331.042885,5.567219,0.042443
0.030612,0.883859,186,101330.974304,5.577307,0.038951
0.030612,0.893959,187,101330.911497,5.586534,0.035448
